px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
112.894	12.4492	1.61518	-0.0252746	0.373622	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	2.3396e-314
112.897	12.438	1.7388	-0.0268275	0.372228	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.200559
114.764	12.5497	2.09942	0.203831	0.26089	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	2.3396e-314
114.768	12.5522	1.96381	0.211457	0.265343	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.395602
116.688	12.1354	1.82319	-0.317688	-0.285958	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	2.3396e-314
116.744	12.1719	2.12819	-0.254605	-0.177906	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	1.07128
118.92	11.9915	2.35183	0.0100519	0.158125	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	2.3396e-314
118.903	11.995	2.24025	0.00515035	0.153019	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.123467
120.717	12.2901	2.02171	0.272974	0.238284	120.695	12.2918	120.743	12.3289	2.21139	0.128528	2.3396e-314
120.766	12.2912	2.16867	0.265204	0.226007	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.487444
123.467	12.8069	3.10172	0.116123	-0.0767303	123.568	12.8297	122.95	12.5114	2.29835	0.246599	2.3396e-314
123.36	12.7807	2.61632	0.128013	-0.0734564	123.142	12.7694	122.95	12.5114	2.29835	0.246599	2.58641
124.983	12.7878	1.74293	-0.0675163	-0.172889	124.894	12.7743	125.242	12.8125	2.37624	0.369827	2.3396e-314
125.114	12.8145	2.34244	-0.038677	-0.124873	125.376	12.9964	125.242	12.8125	2.37624	0.369827	3.96326
127.794	13.3113	2.88348	0.37568	0.289522	127.853	13.3273	127.609	13.2365	2.44434	0.495787	2.3396e-314
127.73	13.3115	2.74197	0.382932	0.308945	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.894702
129.974	13.7273	2.31001	0.238603	-0.00754776	129.947	13.6963	130.042	13.7853	2.50232	0.621879	2.3396e-314
130.045	13.7343	2.4286	0.21615	-0.029811	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.2214
132.1	14.5004	2.38004	0.398491	0.13005	132.092	14.507	132.53	14.458	2.55028	0.74543	2.3396e-314
132.181	14.5011	2.63095	0.363181	0.0723588	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.30631
135.011	15.0393	3.16111	0.0553316	-0.230495	135.074	15.0475	135.066	15.2513	2.58865	0.863795	2.3396e-314
134.988	15.0167	2.83653	0.0346005	-0.266573	135.127	14.6575	135.066	15.2513	2.58865	0.863795	1.15687
137.571	16.1868	2.68778	0.591949	0.347171	137.561	16.2147	137.639	16.1592	2.61821	0.974442	2.3396e-314
137.62	16.1582	2.9965	0.514888	0.200523	137.653	16.5145	137.639	16.1592	2.61821	0.974442	1.05262
140.318	17.0209	2.93622	0.230337	-0.181714	140.331	17.008	140.242	17.1733	2.63994	1.07503	2.3396e-314
140.326	17.0216	2.93448	0.227835	-0.184108	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0388796
142.893	17.9813	2.92547	0.368003	0.0647438	142.888	17.9918	142.868	18.2829	2.65497	1.16346	2.3396e-314
142.855	17.9742	2.92768	0.357396	0.0460264	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.575164
145.383	19.1557	3.03983	0.478319	0.100408	145.392	19.1617	145.51	19.4754	2.66445	1.23795	2.3396e-314
145.46	19.1647	3.1315	0.466667	0.0892287	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.70263
148.226	20.469	3.3441	0.417163	-0.0280721	148.251	20.4754	148.163	20.7364	2.66951	1.29702	2.3396e-314
148.19	20.4658	3.10482	0.457442	0.0474946	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.622905
150.678	22.106	3.23022	0.64077	0.149346	150.686	22.1142	150.825	22.0502	2.67111	1.33953	2.3396e-314
150.681	22.1006	3.30892	0.612294	0.0931315	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.175596
153.413	23.4981	3.25212	0.400841	-0.149503	153.422	23.4909	153.491	23.3999	2.66999	1.3647	2.3396e-314
153.384	23.4887	3.06308	0.424493	-0.104095	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.368656
156.034	24.8004	3.21363	0.437326	-0.0147614	156.047	24.8084	156.159	24.7682	2.66666	1.37208	2.3396e-314
156.005	24.803	2.98331	0.480645	0.0676243	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.594597
158.858	26.0169	3.40534	0.330695	-0.117226	158.905	26.0308	158.827	26.1372	2.66127	1.36157	2.3396e-314
158.865	26.0145	3.23817	0.342793	-0.0873322	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.727547
161.43	27.4221	3.10717	0.53366	0.127093	161.412	27.4256	161.493	27.4891	2.65371	1.33344	2.3396e-314
161.447	27.4305	3.04707	0.554959	0.16931	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.374526
163.646	28.786	2.75658	0.603234	0.0881345	163.625	28.7683	164.155	28.8064	2.64354	1.28825	2.3396e-314
163.763	28.8024	2.97884	0.54708	0.01242	164.116	29.315	164.155	28.8064	2.64354	1.28825	2.952
166.757	30.1824	3.63552	0.29299	-0.221396	166.828	30.2062	166.809	30.0721	2.63006	1.22694	2.3396e-314
166.685	30.1564	3.14752	0.329954	-0.15273	166.748	29.7121	166.809	30.0721	2.63006	1.22694	2.23089
169.129	31.3706	2.8816	0.447281	0.0529325	169.097	31.3717	169.452	31.2706	2.61238	1.15075	2.3396e-314
169.147	31.3727	2.91787	0.444273	0.0478202	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.0984882
172.118	32.3268	3.42727	0.197885	-0.197005	172.175	32.3404	172.079	32.3873	2.58945	1.06126	2.3396e-314
172.091	32.3075	3.07624	0.192178	-0.205309	172.135	32.6666	172.079	32.3873	2.58945	1.06126	1.35295
174.661	33.4494	2.91519	0.458704	0.150568	174.643	33.4625	174.685	33.4095	2.56021	0.960341	2.3396e-314
174.635	33.4497	2.8192	0.470179	0.173654	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.145981
177.035	34.2184	2.64579	0.286539	-0.0976916	177.03	34.2009	177.261	34.3262	2.52363	0.850119	2.3396e-314
177.047	34.2175	2.60382	0.28282	-0.100463	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.139748
180.05	35.1158	3.54023	0.311045	0.00192263	180.145	35.1423	179.799	35.1289	2.47883	0.732949	2.3396e-314
179.907	35.1019	2.89957	0.37201	0.109827	179.543	35.4767	179.799	35.1289	2.47883	0.732949	4.54979
